Stock Name,Total Quantity,Avg Buy Price,Total Invested
ADBL,15,238.00,3570.00
AHPC,15,322.00,4830.00
ALICL,15,239.00,3585.00
BPCL,15,805.00,12075.00
CFCL,15,197.00,2955.00
CHCL,15,1150.00,17250.00
CIT,15,1400.00,21000.00
CORBL,15,104.00,1560.00
CZBIL,15,285.00,4275.00
EBL,15,1359.00,20385.00
EDBL,15,273.00,4095.00
GBBL,15,180.00,2700.00
GBIME,15,411.00,6165.00
GFCL,15,106.00,1590.00
GMFIL,15,198.00,2970.00
HBL,15,805.00,12075.00
ICFC,45,126.67,5700.00
JBBL,165,79.64,13140.00
JFL,60,274.00,16440.00
KBL,15,282.00,4230.00
LICN,75,952.60,71445.00
MBL,15,230.00,3450.00
NABBC,15,427.00,6405.00
NABIL,15,1660.00,24900.00
NHPC,30,55.00,1650.00
NMB,15,270.00,4050.00
PCBL,15,320.00,4800.00
PROFL,15,125.00,1875.00
SANIMA,30,265.50,7965.00
SBI,15,854.00,12810.00
GRAND TOTAL,765,,299940.00
